ENTREZID,SYMBOL,GENENAME,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
170829,Tram2,translocating chain-associating membrane protein 2,2.340973843,2.050933814,1.272317297,1.658144796,2.05272472,2.056679579,2.074574525,1.747842525,1.312773723,1.599371193,1.977294867,2.045569695
75712,Tmem14a,transmembrane protein 14A,0.870344018,1.570767504,1.5150187,2.175544013,2.021189146,2.178885512,0.641001075,0.769429387,-2.311717142,-0.699287123,-1.539280658,-1.915259708
14859,Gsta3,"glutathione S-transferase, alpha 3",-2.673976498,-3.40192515,-2.953750783,-2.429318045,-1.391193899,-1.983734689,-2.101502703,-1.801319254,0.54072567,2.140672465,1.557580881,1.42713249
226922,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",5.233581857,5.397032598,5.022711054,5.288739087,6.220481885,6.686438703,-4.216979921,-2.718857094,-3.159714048,-3.021215218,-3.124243159,-1.915259708
70155,Ogfrl1,opioid growth factor receptor-like 1,3.697195115,3.653357285,4.513854767,4.031934009,4.170599437,4.20608987,6.860058297,6.653524327,8.323194722,8.179070388,7.835034347,7.681196302
280645,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",0.976277463,1.415698107,1.816323123,1.676881359,1.341522222,1.612116128,0.827414199,1.030081142,1.63729893,2.057736124,1.519613031,1.847240979
98366,Smap1,small ArfGAP 1,4.686504837,4.935250718,4.971061721,5.070527842,5.118464688,5.081375407,4.085278194,4.24692719,4.7459738,4.721599452,5.115753081,5.057104725
68002,Sdhaf4,succinate dehydrogenase complex assembly factor 4,1.792723121,1.4758191,1.816323123,2.472219316,2.005159037,2.505200924,2.709810232,2.325537025,2.197837956,2.322192605,3.104575531,2.998484559
68187,Fam135a,"family with sequence similarity 135, member A",5.033382634,4.991250764,4.555175827,4.505355707,5.229564989,5.380996902,4.294772733,4.279890022,4.539337796,4.638423969,4.569243798,4.718254538
12839,Col9a1,"collagen, type IX, alpha 1",3.095677714,4.778978559,6.067427505,5.913991068,3.147052102,3.06065943,4.887181984,5.758226543,7.126381607,7.545029137,8.541832867,8.727952278
68421,Lmbrd1,LMBR1 domain containing 1,5.421127443,5.47643236,5.516762841,5.897111442,6.073532019,6.119553119,5.46542951,5.576274072,5.672543066,6.026999167,5.489239382,5.281605837
665903,Gm7846,predicted gene 7846,2.603181726,2.872336511,2.635499076,2.575682636,2.446155763,2.164164006,2.92937661,2.889295034,3.22226143,2.706705237,2.47070343,2.678264807
213109,Phf3,PHD finger protein 3,6.606536533,6.566453651,6.132575033,6.166043052,6.645141351,6.656510247,6.548720567,6.531441324,6.35243381,6.396215395,5.939151922,5.878227485
19243,Ptp4a1,protein tyrosine phosphatase 4a1,6.440054988,6.626809743,6.253263537,6.129952813,6.26911666,6.000295304,6.170678441,6.067230982,5.827265661,5.824901956,5.703364187,5.505001314
19076,Prim2,"DNA primase, p58 subunit",3.889113822,3.877917543,3.646162059,3.506665462,2.993018474,3.020358065,4.268178523,4.066867812,4.051687589,3.560738533,3.901819137,3.656763737
19335,Rab23,"RAB23, member RAS oncogene family",3.475770621,3.360955143,3.178473509,3.334447609,3.941303437,4.026475509,2.794247335,2.842536935,1.118270699,1.196015499,1.733737836,1.816544181
213539,Bag2,BCL2-associated athanogene 2,4.808047111,5.34156289,6.369143079,6.305767816,5.839321082,5.574338093,4.260103716,4.284895041,4.9869819,4.886877123,4.088455866,4.138472276
98403,Zfp451,zinc finger protein 451,4.242234725,4.211311805,4.51152408,4.500104764,4.152520315,4.403891038,4.142037493,4.259694486,3.971628491,3.863871008,3.362256703,3.673990151
433287,Gm15455,predicted gene 15455,2.953760026,3.020980592,2.781926115,2.727186441,2.481345191,2.421019837,2.717693832,2.815121478,2.853748212,2.496060476,2.388826423,2.808766831
13518,Dst,dystonin,10.0794492,10.44765588,9.283160329,10.14735,11.30675741,10.99414688,8.013941168,7.868086916,7.596341831,8.030945235,8.095933604,8.050730662
69668,Ccdc115,coiled-coil domain containing 115,3.124765293,3.03436997,3.154773674,2.493514095,2.021189146,2.149290729,3.131748234,3.288637442,3.328929492,3.061998151,3.142543382,3.530050803
27993,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",4.768045442,4.705553496,4.546095104,4.284927473,3.850018187,4.026475509,5.119154667,4.929001026,5.422992479,5.231450215,5.040663768,5.140022728
52318,D1Ertd448e,"DNA segment, Chr 1, ERATO Doi 448, expressed",3.293089612,3.192026134,2.976986555,2.615076075,2.083585684,2.207885383,3.743022011,3.56036655,3.045834863,2.90952212,2.621711218,2.712013598
19253,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",0.725954108,1.017613741,1.25012155,0.970612562,-0.52446043,-0.585185313,5.300689468,5.50514458,5.775156243,6.065717123,6.235506401,6.487447853
226970,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,2.659924238,3.11219711,3.213308885,2.805898417,2.635085425,2.809499125,1.337608931,1.144640906,0.927748793,1.099800183,-0.316888237,-1.552689628
214469,Fam168b,"family with sequence similarity 168, member B",7.713681863,7.738521214,7.917824482,7.905451823,7.85519742,7.757885507,7.238176029,7.325688816,7.516771993,7.422764325,7.075838055,7.023479754
226971,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",4.088313252,4.39897475,3.877330209,3.898608791,3.818259466,3.62561197,5.644623988,5.591503225,3.882492512,4.217189522,4.326967953,4.228670085
50785,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,7.220672873,7.184351708,7.093567917,7.247226764,6.612448018,6.384573341,7.006820695,6.994051976,7.863624483,7.884923779,7.327998081,7.311840466
320011,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,6.674013893,6.490162246,6.355563151,6.446175351,6.451711007,6.55366022,6.61300702,6.505948534,7.125919353,6.878745849,7.609054684,7.67158008
214854,Neurl3,neuralized E3 ubiquitin protein ligase 3,2.832055533,3.478270579,1.227578982,0.283400003,0.99707669,0.284754147,1.274873176,1.42410086,-1.574751547,-1.642703594,0.148775335,0.231581681
214855,Arid5a,AT rich interactive domain 5A (MRF1-like),9.399012073,9.071323978,8.00718202,8.166768155,8.928411816,8.940470492,7.131563828,7.039551212,6.153622513,6.0324392,6.973350081,7.073019215
226976,Kansl3,KAT8 regulatory NSL complex subunit 3,6.343141214,6.439481947,6.343820599,6.381967442,6.478082404,6.384573341,6.336649373,6.325233396,6.344509072,6.354258695,5.979918745,6.018009415
214895,Lman2l,"lectin, mannose-binding 2-like",3.67769894,3.443564901,3.455640153,3.34620079,3.616740282,3.548355538,4.642037121,4.715771133,3.996116123,3.89764802,4.957905882,4.856701308
94220,Cnnm4,cyclin M4,5.783176341,5.685007191,5.202512912,4.848873259,4.88438289,4.827129019,4.619070434,4.64357383,3.955069399,3.388175718,4.443079182,4.610540721
94218,Cnnm3,cyclin M3,3.787275556,3.344925033,2.115411242,2.325569457,2.186679176,2.995625545,4.219037518,3.939354389,3.833507419,3.566749771,4.610466461,4.726534016
78321,Ankrd23,ankyrin repeat domain 23,2.161723049,1.997245944,1.770275756,2.121856142,2.309245819,2.4577005,2.32217889,2.780102889,2.211844814,2.234285515,3.011893529,3.248928924
109346,Ankrd39,ankyrin repeat domain 39,1.748555537,1.941482672,2.299590227,2.214538145,2.143395079,2.408582734,2.332483899,2.46436473,2.253067477,2.091484915,2.898124654,3.237387302
20353,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",7.934689026,7.625842651,7.592454678,7.511077127,6.839603603,6.799114643,7.875446895,7.664487199,6.686089598,6.657912962,6.225222381,5.907652495
381337,Fam178b,"family with sequence similarity 178, member B",-0.985920505,-2.023413527,-0.631822688,-0.554848927,-0.269203375,-0.688278806,0.347804698,0.586951335,2.034057695,1.066247624,-1.539280658,-2.400686535
12859,Cox5b,cytochrome c oxidase subunit Vb,4.49260506,4.464735601,4.860030408,5.009011776,4.417675663,4.416368479,4.94205044,4.814256293,5.345700561,5.143691709,5.511172668,5.552345842
226977,Actr1b,"ARP1 actin-related protein 1B, centractin beta",6.556711141,6.585338862,6.562793477,6.702538916,6.79251445,6.691580861,6.138738227,6.236954234,6.56582263,6.498814087,6.640075569,6.62887678
22637,Zap70,zeta-chain (TCR) associated protein kinase,-4.258938999,-0.438451026,-1.006218203,-1.206925623,-3.156728646,-2.273241306,-4.216979921,-2.718857094,-5.481642143,-5.343143313,-3.124243159,-4.72261463
56030,Tmem131,transmembrane protein 131,6.65619345,6.644380366,6.619084762,6.76735238,6.988184468,6.953170886,6.097792121,6.217453666,6.511650098,6.412161576,6.189395728,6.165367503
269180,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",4.606278747,4.437278638,4.532365944,4.473559488,5.283725298,5.242458532,3.57960053,3.698057692,3.851513207,4.051319382,3.296418889,3.31630436
76178,Coa5,cytochrome C oxidase assembly factor 5,4.815202464,4.802645994,4.960847908,5.050911167,5.167901969,5.142735142,5.755999865,5.803397481,6.456834796,6.291213989,6.339962212,6.536540139
67387,Unc50,unc-50 homolog (C. elegans),4.204585374,4.274737185,4.098429081,4.130377697,4.167001692,4.336553047,4.323471049,4.491678969,4.687029975,4.641275146,4.843463438,4.705745543
269181,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A",5.134093869,5.216460352,4.901562671,4.869380997,5.250114109,5.177969806,5.915305584,5.874015167,6.226148352,6.227186788,6.344041466,6.311496516
77633,4930594C11Rik,G1 to S phase transition pseudogene,1.9569984,2.347609117,2.669346847,2.094243911,2.05272472,1.736742782,2.342715821,2.024107241,2.523982406,2.581669191,3.03898719,2.854814198
72097,2010300C02Rik,RIKEN cDNA 2010300C02 gene,-0.352048404,-0.86587225,0.778053106,0.423124767,-0.434262621,-0.799310118,4.940367015,5.099192429,5.40786182,5.335456827,5.47690858,5.505001314
211484,Tsga10,testis specific 10,-0.062541786,0.465971314,0.428718854,0.590581513,0.896382691,0.999777188,0.767913187,0.956707955,0.584447047,1.196015499,0.500247706,0.406668387
623661,Lipt1,lipoyltransferase 1,-0.115981045,0.004067209,0.542675043,-0.044654195,1.150699879,0.439476742,0.797970421,0.5541614,1.312773723,1.816728024,0.717059095,0.703650125
69028,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",2.578163266,2.980050328,3.124590668,3.026465797,3.809055639,3.466726776,2.32217889,2.37331275,2.332139048,2.074709202,3.154980485,3.129134412
107734,Mrpl30,mitochondrial ribosomal protein L30,4.064491121,4.029363504,4.188721006,4.462803091,4.349479743,4.14367348,4.262800343,4.302277119,4.17478272,4.170584283,4.081957229,4.113435725
98258,Txndc9,thioredoxin domain containing 9,4.921798988,4.8374347,4.947116025,4.971561391,5.17329187,5.125739847,5.435865052,5.63820611,5.875359949,5.999486986,5.073792549,4.923043803
226982,Eif5b,eukaryotic translation initiation factor 5B,7.161898464,7.196685704,7.484298446,7.42191045,7.225463048,6.977057112,7.327501602,7.305513072,7.977148933,8.218025278,7.579372077,7.593949756
56210,Rev1,"REV1, DNA directed polymerase",4.174298679,4.327355696,4.676646367,4.566920036,4.23730525,4.216829585,4.241084862,4.143263631,4.765098455,4.737674215,4.760436157,4.734766249
16764,Aff3,"AF4/FMR2 family, member 3",3.661910054,3.631497851,3.585408028,3.522290471,3.376211643,3.380200932,-2.342510803,-2.429350477,-5.481642143,-3.758180812,-4.70920566,-4.72261463
98388,Chst10,carbohydrate sulfotransferase 10,-0.229191656,-1.475925732,0.838807137,0.283400003,0.543711072,1.351249559,-1.047054919,-0.603379877,0.133067701,-0.485162317,-3.124243159,-3.137652129
68833,Pdcl3,phosducin-like 3,5.480841611,5.404785568,5.968939798,6.249771027,6.510382896,6.397218243,5.136902036,5.343039083,5.011212477,4.954919255,4.139417281,4.58344706
18143,Npas2,neuronal PAS domain protein 2,-0.229191656,-0.051427903,-0.90312471,0.283400003,-0.834800551,-0.799310118,2.685897612,3.389667363,3.521172873,3.958352882,5.144103896,4.849138014
114641,Rpl31,ribosomal protein L31,5.849149796,6.139171465,6.056277723,6.016846267,5.468980197,5.353684487,6.396809544,6.453570414,6.382156961,6.30206477,5.677734585,5.672919506
54610,Tbc1d8,"TBC1 domain family, member 8",4.070483632,4.154197668,3.498637559,3.357858995,3.466787096,3.729261201,5.078406387,5.467119543,6.70725573,6.808190407,8.289208477,8.428243293
52846,Cnot11,"CCR4-NOT transcription complex, subunit 11",5.045602464,4.931677478,4.473711726,4.451965895,4.184901364,4.447097969,4.133222628,4.10415624,4.230884857,3.93994504,3.59913337,3.673990151
100217461,Snord89,"small nucleolar RNA, C/D box 89",-0.417636745,-0.594570228,-0.90312471,-0.844355544,-2.671301819,-2.273241306,-1.409624999,-3.081427174,-2.311717142,-1.255680471,-4.70920566,-4.72261463
67702,Rnf149,ring finger protein 149,6.679415412,6.894302803,6.208640546,6.109409789,5.192884326,5.093080908,5.928103082,5.96881019,6.836618201,6.868440841,7.218201953,7.201084254
263764,Creg2,cellular repressor of E1A-stimulated genes 2,-0.115981045,-0.679459126,-0.475703486,-0.241691042,-5.478656741,-3.858203807,-5.801942421,-4.303819595,-1.781202425,-2.173218311,-4.70920566,-4.72261463
26921,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,7.717028353,7.774871328,7.846802496,7.903713037,8.10266155,8.102884083,7.282035447,7.312882393,7.651660645,7.906414616,6.235506401,6.128353521
16178,Il1r2,"interleukin 1 receptor, type II",-1.20004531,-1.079997055,0.648285231,1.900602841,2.309245819,2.040649469,-2.342510803,-2.718857094,-5.481642143,-3.758180812,-0.621742819,-1.915259708
16177,Il1r1,"interleukin 1 receptor, type I",3.77997999,4.12945631,3.768324849,4.078476595,3.579334982,3.554013173,4.521112339,4.563459145,2.579053789,3.253046444,3.203683676,3.091166561
107527,Il1rl2,interleukin 1 receptor-like 2,1.917649733,3.000660608,1.20467858,1.477572551,0.75016195,0.665358149,1.615910094,1.818577036,1.118270699,1.622640972,3.635090248,3.630532196
17082,Il1rl1,interleukin 1 receptor-like 1,-1.089013998,-0.169264393,1.785788755,0.073182296,-1.230729227,-1.983734689,-2.63201742,-3.566854001,-1.574751547,-3.021215218,-2.387277565,-3.137652129
16182,Il18r1,interleukin 18 receptor 1,1.687479961,0.962647282,0.578744298,0.233646968,-2.308731739,-1.983734689,4.518858128,4.173264042,3.963372703,5.229556914,5.115753081,5.575447938
16174,Il18rap,interleukin 18 receptor accessory protein,-2.143461782,-3.40192515,-1.854215109,-4.014280546,-3.156728646,-3.121238213,-0.074021967,0.797718431,0.708182416,1.425041012,2.998153472,3.32723392
110895,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",-5.8439015,-2.916498323,-0.806909395,-0.554848927,0.136053103,-0.016901553,-0.757548302,-1.133894594,3.917101549,5.208564949,7.893725131,8.089763259
226999,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",-0.558499281,-1.331535822,-1.673642864,-2.791888124,-1.778217023,-1.74272659,0.306582035,0.711130746,1.204858384,1.969739643,4.968513982,5.010400692
211798,Mfsd9,major facilitator superfamily domain containing 9,0.30584562,-0.29758849,-0.551652339,-0.554848927,-1.778217023,-0.688278806,1.632685806,0.681073513,1.573640292,1.987773566,2.490466685,2.695237885
381339,Tmem182,transmembrane protein 182,-3.036546578,-1.816962649,-0.088680363,0.128677408,0.136053103,0.534113616,-3.480014326,-4.303819595,-3.896679642,-2.53578839,-2.387277565,-1.915259708
69527,Mrps9,mitochondrial ribosomal protein S9,4.143362512,3.950339023,4.012033502,4.170594797,4.054672992,3.811862262,4.475344979,4.487343294,4.178353749,4.114237567,3.737877566,3.501387044
73122,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1",4.564428241,4.316436476,4.422529676,4.287977569,4.819405827,4.963038698,4.60850893,4.546888165,5.089162295,5.043796933,5.255135208,5.368820757
98404,AI597479,expressed sequence AI597479,3.808943473,3.408003716,3.720693727,3.902594139,4.281231443,4.671877342,3.319591096,3.196026292,3.208355828,3.207603473,3.514796014,3.511005047
14200,Fhl2,four and a half LIM domains 2,4.983441204,5.337517948,6.055478003,6.132500244,5.760345017,5.704674586,3.613799347,3.980040459,2.965441083,3.360760261,0.148775335,0.703650125
666642,Gm8210,predicted pseudogene 8210,4.707806762,5.028527401,4.910435362,4.905575941,4.462390866,4.283051852,5.222504703,5.203314319,5.226579587,5.351214575,4.723336241,4.833891425
17974,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,5.793176157,5.933018481,6.23995057,6.327423583,6.298187492,6.341059553,6.970578355,7.115965062,4.643771327,5.019896318,4.804521936,4.738864818
100861934,NA,NA,-3.521973405,-3.40192515,-4.176143204,-1.898803328,-3.156728646,-3.121238213,-2.994587499,-1.36522014,-0.837785953,-0.057741094,-3.124243159,-1.915259708
78896,1500015O10Rik,RIKEN cDNA 1500015O10 gene,6.893557119,7.296258594,8.788618809,8.577787111,6.018696153,5.731135237,0.607448515,0.260965024,0.072946709,-0.699287123,-4.70920566,-2.400686535
67883,Uxs1,UDP-glucuronate decarboxylase 1,2.659924238,2.490465876,2.151783631,1.818609469,1.532570515,1.832958098,4.010234884,3.488428435,2.512711294,2.673664975,3.786649367,3.82041719
